選手名,年度,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団
三塚　琉生,2025,6,12,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,読　売
鈴木　大和,2025,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,読　売
渡邉　陸,2025,24,51,45,4,10,2,0,0,12,5,1,0,5,1,17,0,0.222,0.314,0.267,0,0,福岡ソフトバンク
嶺井　博希,2025,63,161,143,16,32,3,0,4,47,19,0,0,4,4,31,3,0.224,0.261,0.329,8,2,福岡ソフトバンク
谷川原　健太,2025,48,79,72,12,19,7,0,3,35,4,0,0,6,1,20,0,0.264,0.329,0.486,0,0,福岡ソフトバンク
石塚　綜一郎,2025,24,60,55,4,13,4,0,0,17,6,0,0,1,4,17,2,0.236,0.3,0.309,0,0,福岡ソフトバンク
海野　隆司,2025,105,281,246,24,54,11,2,0,69,21,0,0,10,1,76,4,0.22,0.253,0.28,24,0,福岡ソフトバンク
藤田　悠太郎,2025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,福岡ソフトバンク
川瀬　晃,2025,102,224,190,21,50,8,1,2,66,23,1,1,20,1,37,5,0.263,0.336,0.347,13,0,福岡ソフトバンク
ダウンズ,2025,50,168,146,21,33,10,3,4,61,18,4,1,19,1,36,0,0.226,0.315,0.418,0,2,福岡ソフトバンク
山川　穂高,2025,130,496,443,45,100,9,0,23,178,62,0,0,45,4,126,7,0.226,0.3,0.402,0,4,福岡ソフトバンク
今宮　健太,2025,46,182,161,14,41,8,1,2,57,12,0,0,12,2,23,7,0.255,0.313,0.354,6,1,福岡ソフトバンク
牧原　大成,2025,125,443,418,44,127,17,6,5,171,49,12,4,7,3,63,4,0.304,0.317,0.409,11,4,福岡ソフトバンク
周東　佑京,2025,96,430,384,45,110,13,2,3,136,36,35,4,37,5,73,5,0.286,0.357,0.354,4,0,福岡ソフトバンク
栗原　陵矢,2025,80,332,285,33,76,12,2,8,116,40,1,1,40,2,67,6,0.267,0.356,0.407,1,4,福岡ソフトバンク
庄子　雄大,2025,26,18,17,2,4,3,0,0,7,2,1,0,1,0,5,0,0.235,0.278,0.412,0,0,福岡ソフトバンク
廣瀨　隆太,2025,30,94,85,6,19,2,0,1,24,7,1,0,7,0,28,2,0.224,0.28,0.282,1,1,福岡ソフトバンク
イヒネ　イツア,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,福岡ソフトバンク
井上　朋也,2025,8,24,24,0,3,0,0,0,3,1,0,0,0,0,5,0,0.125,0.125,0.125,0,0,福岡ソフトバンク
リチャード,2025,6,22,22,1,2,2,0,0,4,0,0,0,0,0,12,1,0.091,0.091,0.182,0,0,福岡ソフトバンク
リチャード,2025,77,253,232,17,49,7,0,11,89,39,1,0,13,6,90,4,0.211,0.269,0.384,0,2,読　売
秋広　優人,2025,5,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0.143,0.25,0.143,0,0,読　売
秋広　優人,2025,22,59,53,4,11,2,0,1,16,4,0,0,5,1,16,1,0.208,0.288,0.302,0,0,福岡ソフトバンク
野村　勇,2025,126,413,376,50,102,16,0,12,154,40,18,4,25,5,122,8,0.271,0.324,0.41,5,2,福岡ソフトバンク
近藤　健介,2025,75,307,256,28,77,17,1,10,126,41,0,0,47,2,43,6,0.301,0.41,0.492,0,2,福岡ソフトバンク
中村　晃,2025,116,431,371,34,89,10,4,3,116,34,1,2,50,2,48,6,0.24,0.33,0.313,4,4,福岡ソフトバンク
柳田　悠岐,2025,20,78,73,12,21,3,0,4,36,9,0,0,5,0,13,1,0.288,0.333,0.493,0,0,福岡ソフトバンク
佐藤　直樹,2025,104,212,188,30,45,7,5,5,77,18,10,2,13,1,72,2,0.239,0.291,0.41,9,1,福岡ソフトバンク
正木　智也,2025,17,65,58,4,15,0,0,2,21,8,1,0,5,0,12,2,0.259,0.308,0.362,0,2,福岡ソフトバンク
柳町　達,2025,131,517,442,54,129,17,1,6,166,50,2,2,62,6,109,8,0.292,0.384,0.376,4,3,福岡ソフトバンク
笹川　吉康,2025,26,63,61,8,13,0,0,1,16,8,2,0,0,1,16,1,0.213,0.222,0.262,0,1,福岡ソフトバンク
緒方　理貢,2025,101,79,74,25,16,2,1,0,20,6,8,3,3,0,12,3,0.216,0.247,0.27,2,0,福岡ソフトバンク
川村　友斗,2025,15,9,9,2,1,0,0,0,1,0,0,0,0,0,3,0,0.111,0.111,0.111,0,0,福岡ソフトバンク
山本　恵大,2025,25,80,70,8,15,1,0,2,22,6,0,0,7,3,17,5,0.214,0.313,0.314,0,0,福岡ソフトバンク
梅野　隆太郎,2025,52,132,118,7,26,4,0,0,30,2,2,3,7,1,29,2,0.22,0.27,0.254,6,0,阪　神
坂本　誠志郎,2025,117,414,340,21,84,19,1,2,111,27,2,2,53,5,91,6,0.247,0.357,0.326,16,0,阪　神
榮枝　裕貴,2025,8,9,9,1,2,0,0,0,2,1,0,1,0,0,3,0,0.222,0.222,0.222,0,0,阪　神
長坂　拳弥,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,阪　神
中川　勇斗,2025,25,59,56,3,15,1,0,2,22,2,0,0,2,0,16,2,0.268,0.293,0.393,1,0,阪　神
木浪　聖也,2025,72,203,181,12,35,8,2,0,47,15,1,1,12,3,48,1,0.193,0.255,0.26,7,0,阪　神
大山　悠輔,2025,141,587,503,52,133,25,1,13,199,75,6,3,74,6,96,16,0.264,0.363,0.396,0,4,阪　神
熊谷　敬宥,2025,85,170,156,22,35,2,3,1,46,18,6,4,5,1,33,5,0.224,0.253,0.295,8,0,阪　神
佐藤　輝明,2025,139,597,537,83,149,34,4,40,311,102,10,2,57,0,163,5,0.277,0.345,0.579,0,3,阪　神
渡邉　諒,2025,22,24,19,0,3,0,0,0,3,1,0,0,5,0,8,1,0.158,0.333,0.158,0,0,阪　神
糸原　健斗,2025,61,75,69,0,14,0,0,0,14,4,1,0,5,0,16,1,0.203,0.253,0.203,0,1,阪　神
小幡　竜平,2025,89,297,265,23,59,8,0,5,82,17,6,2,18,1,64,5,0.223,0.272,0.309,10,3,阪　神
中野　拓夢,2025,143,625,531,65,150,18,3,0,174,30,19,7,44,3,77,5,0.282,0.339,0.328,44,3,阪　神
植田　海,2025,42,19,17,10,1,1,0,0,2,1,4,1,2,0,9,0,0.059,0.158,0.118,0,0,阪　神
髙寺　望夢,2025,67,160,134,10,31,4,0,2,41,7,4,1,18,1,37,1,0.231,0.325,0.306,6,1,阪　神
原口　文仁,2025,16,17,16,1,1,0,0,0,1,2,0,0,1,0,5,2,0.063,0.118,0.063,0,0,阪　神
ヘルナンデス,2025,47,101,96,3,22,3,0,1,28,8,0,0,4,0,26,6,0.229,0.257,0.292,0,1,阪　神
森下　翔太,2025,143,620,549,82,151,24,5,23,254,89,5,2,54,12,86,15,0.275,0.35,0.463,0,5,阪　神
近本　光司,2025,140,638,573,76,160,25,4,3,202,34,32,9,60,2,88,3,0.279,0.348,0.353,0,3,阪　神
井上　広大,2025,1,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,阪　神
井坪　陽生,2025,6,18,18,1,3,0,0,0,3,0,0,0,0,0,4,0,0.167,0.167,0.167,0,0,阪　神
島田　海吏,2025,28,35,31,2,4,0,0,0,4,0,1,2,1,0,1,0,0.129,0.156,0.129,3,0,阪　神
楠本　泰史,2025,16,16,15,0,2,1,0,0,3,1,0,0,1,0,6,0,0.133,0.188,0.2,0,0,阪　神
前川　右京,2025,69,209,195,11,48,10,1,1,63,15,0,1,8,6,30,2,0.246,0.297,0.323,0,0,阪　神
小野寺　暖,2025,19,30,29,3,7,1,0,0,8,0,0,0,1,0,9,0,0.241,0.267,0.276,0,0,阪　神
豊田　寛,2025,33,61,56,2,13,4,0,0,17,4,0,0,4,0,16,3,0.232,0.279,0.304,0,1,阪　神
マルティネス,2025,34,73,69,6,12,3,0,1,18,8,0,0,2,1,25,1,0.174,0.205,0.261,0,1,北海道日本ハム
伏見　寅威,2025,64,175,158,7,38,5,0,2,49,11,0,0,10,2,34,5,0.241,0.294,0.31,5,0,北海道日本ハム
郡司　裕也,2025,111,422,364,46,108,15,0,10,153,42,0,0,45,6,71,7,0.297,0.379,0.42,2,5,北海道日本ハム
進藤　勇也,2025,13,31,26,3,2,0,0,0,2,0,0,0,2,0,8,1,0.077,0.143,0.077,3,0,北海道日本ハム
吉田　賢吾,2025,47,112,106,9,23,6,1,4,43,9,0,1,5,1,20,5,0.217,0.259,0.406,0,0,北海道日本ハム
田宮　裕涼,2025,79,274,245,29,62,6,1,5,85,21,2,4,18,1,44,4,0.253,0.303,0.347,7,3,北海道日本ハム
梅林　優貴,2025,2,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,北海道日本ハム
上川畑　大悟,2025,35,81,72,4,12,3,0,0,15,5,0,0,7,2,9,4,0.167,0.259,0.208,0,0,北海道日本ハム
野村　佑希,2025,101,369,339,28,91,18,1,8,135,35,1,1,26,3,70,4,0.268,0.325,0.398,0,1,北海道日本ハム
中島　卓也,2025,32,30,21,4,7,0,0,0,7,1,2,0,7,0,7,0,0.333,0.5,0.333,2,0,北海道日本ハム
清宮　幸太郎,2025,138,577,525,63,143,25,1,12,206,65,8,1,46,1,85,9,0.272,0.329,0.392,0,5,北海道日本ハム
石井　一成,2025,108,364,332,41,86,17,3,6,127,30,3,0,23,0,86,1,0.259,0.306,0.383,8,1,北海道日本ハム
有薗　直輝,2025,12,35,31,3,7,2,0,0,9,3,0,0,2,1,12,1,0.226,0.286,0.29,0,1,北海道日本ハム
水野　達稀,2025,100,332,295,32,73,10,7,7,118,39,5,0,21,10,69,4,0.247,0.317,0.4,4,2,北海道日本ハム
阪口　樂,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,北海道日本ハム
若林　晃弘,2025,5,7,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0.143,0.143,0.143,0,0,北海道日本ハム
山縣　秀,2025,84,198,185,15,43,7,0,3,59,11,3,0,1,2,34,4,0.232,0.242,0.319,8,2,北海道日本ハム
細川　凌平,2025,16,19,16,1,2,0,0,0,2,1,2,0,1,0,2,0,0.125,0.176,0.125,2,0,北海道日本ハム
奈良間　大己,2025,86,103,91,11,20,2,0,1,25,3,3,1,7,2,34,1,0.22,0.29,0.275,3,0,北海道日本ハム
松本　剛,2025,66,185,160,13,30,4,1,0,36,7,3,4,17,4,24,5,0.188,0.282,0.225,4,0,北海道日本ハム
淺間　大基,2025,39,108,92,4,17,2,0,2,25,7,2,0,14,0,19,1,0.185,0.292,0.272,2,0,北海道日本ハム
宮崎　一樹,2025,5,6,6,0,1,1,0,0,2,1,0,0,0,0,4,0,0.167,0.167,0.333,0,0,北海道日本ハム
五十幡　亮汰,2025,118,307,284,45,66,5,10,1,94,18,25,10,18,2,73,1,0.232,0.283,0.331,3,0,北海道日本ハム
水谷　瞬,2025,87,321,296,45,82,16,3,12,140,41,6,3,18,3,77,1,0.277,0.322,0.473,1,3,北海道日本ハム
今川　優馬,2025,18,57,53,9,13,3,0,2,22,5,0,0,4,0,14,2,0.245,0.298,0.415,0,0,北海道日本ハム
万波　中正,2025,127,465,420,48,96,23,1,20,181,56,3,3,43,1,125,10,0.229,0.302,0.431,1,0,北海道日本ハム
レイエス,2025,132,531,476,62,132,17,0,32,245,90,0,0,52,0,129,8,0.277,0.347,0.515,0,3,北海道日本ハム
石伊　雄太,2025,85,270,235,17,52,9,0,3,70,21,0,1,14,3,63,6,0.221,0.272,0.298,16,2,中　日
木下　拓哉,2025,38,122,112,7,27,3,0,2,36,8,0,0,8,0,20,3,0.241,0.292,0.321,2,0,中　日
宇佐見　真吾,2025,20,41,34,2,4,0,0,0,4,1,0,0,6,0,13,1,0.118,0.25,0.118,1,0,中　日
味谷　大誠,2025,3,8,7,1,1,0,0,0,1,1,0,0,0,0,3,0,0.143,0.125,0.143,0,1,中　日
加藤　匠馬,2025,47,75,64,4,15,1,0,1,19,6,0,0,2,0,17,2,0.234,0.258,0.297,9,0,中　日
石橋　康太,2025,10,12,8,0,1,0,0,0,1,1,0,0,3,0,3,0,0.125,0.364,0.125,1,0,中　日
辻本　倫太郎,2025,29,56,53,3,7,3,0,0,10,1,0,0,0,0,10,1,0.132,0.132,0.189,3,0,中　日
田中　幹也,2025,95,365,315,33,85,13,1,1,103,21,12,2,24,2,35,2,0.27,0.324,0.327,22,2,中　日
高橋　周平,2025,41,101,94,1,22,5,0,0,27,8,0,0,7,0,21,2,0.234,0.287,0.287,0,0,中　日
カリステ,2025,61,192,176,13,40,9,1,1,54,14,1,1,12,0,37,4,0.227,0.272,0.307,1,3,中　日
村松　開人,2025,54,186,158,9,28,3,1,2,39,10,2,2,13,3,39,1,0.177,0.249,0.247,9,3,中　日
中田　翔,2025,26,69,63,4,10,3,0,2,19,4,0,0,6,0,13,1,0.159,0.232,0.302,0,0,中　日
福永　裕基,2025,20,57,52,4,9,1,0,1,13,3,0,1,4,1,16,1,0.173,0.246,0.25,0,0,中　日
チェイビス,2025,38,120,105,7,18,4,0,5,37,8,0,0,11,3,32,2,0.171,0.267,0.352,0,1,中　日
石川　昂弥,2025,22,75,72,6,10,2,0,1,15,5,0,1,2,1,27,1,0.139,0.173,0.208,0,0,中　日
津田　啓史,2025,5,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,中　日
森　駿太,2025,6,22,20,1,4,0,1,0,6,0,0,0,1,1,8,0,0.2,0.273,0.3,0,0,中　日
土田　龍空,2025,20,53,51,1,7,2,0,0,9,2,0,0,2,0,16,2,0.137,0.17,0.176,0,0,中　日
山本　泰寛,2025,112,372,347,23,84,12,2,4,112,23,3,2,10,1,62,5,0.242,0.265,0.323,14,0,中　日
板山　祐太郎,2025,84,193,179,17,37,5,2,2,52,10,0,0,10,1,50,4,0.207,0.251,0.291,2,1,中　日
佐藤　龍世,2025,23,77,66,5,13,3,0,0,16,3,1,0,8,0,20,2,0.197,0.28,0.242,2,1,中　日
ロドリゲス,2025,20,34,29,3,6,1,0,0,7,1,0,0,4,0,11,1,0.207,0.303,0.241,1,0,中　日
樋口　正修,2025,33,25,22,2,2,0,0,0,2,0,5,3,1,0,8,0,0.091,0.13,0.091,2,0,中　日
尾田　剛樹,2025,28,5,5,7,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,中　日
岡林　勇希,2025,143,637,578,71,168,22,8,5,221,35,17,5,51,1,57,1,0.291,0.348,0.382,4,3,中　日
大島　洋平,2025,59,98,95,8,23,0,0,0,23,4,4,0,3,0,14,0,0.242,0.265,0.242,0,0,中　日
ボスラー,2025,122,493,452,37,118,33,2,13,194,58,0,1,30,6,101,5,0.261,0.312,0.429,0,5,中　日
濱　将乃介,2025,5,4,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0.25,0.25,0.25,0,0,中　日
ブライト　健太,2025,83,157,139,17,36,10,2,3,59,20,0,2,13,3,40,3,0.259,0.335,0.424,2,0,中　日
川越　誠司,2025,28,43,37,2,7,1,0,0,8,0,0,0,4,2,12,0,0.189,0.302,0.216,0,0,中　日
上林　誠知,2025,134,517,486,52,131,21,4,17,211,52,27,5,20,4,102,3,0.27,0.303,0.434,6,1,中　日
駿太,2025,22,18,17,2,4,0,0,0,4,0,0,1,0,0,7,0,0.235,0.235,0.235,1,0,中　日
細川　成也,2025,108,428,360,38,92,22,1,20,176,58,2,3,61,4,109,11,0.256,0.367,0.489,0,3,中　日
鵜飼　航丞,2025,30,53,53,0,10,0,0,0,10,1,1,0,0,0,13,1,0.189,0.189,0.189,0,0,中　日
松川　虎生,2025,6,9,8,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0.111,0,0,0,千葉ロッテ
田村　龍弘,2025,18,43,38,1,6,0,0,1,9,3,0,0,0,0,10,3,0.158,0.158,0.237,5,0,千葉ロッテ
佐藤　都志也,2025,68,224,198,13,41,8,0,4,61,18,3,0,18,4,42,1,0.207,0.285,0.308,3,1,千葉ロッテ
植田　将太,2025,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0.2,0.2,0.2,0,0,千葉ロッテ
寺地　隆成,2025,116,445,414,33,106,16,0,5,137,33,0,0,19,7,67,8,0.256,0.299,0.331,3,2,千葉ロッテ
池田　来翔,2025,83,249,227,22,54,11,0,5,80,20,2,1,11,4,45,8,0.238,0.282,0.352,4,3,千葉ロッテ
友杉　篤輝,2025,116,319,278,28,64,11,2,1,82,15,7,7,15,3,45,3,0.23,0.275,0.295,21,2,千葉ロッテ
安田　尚憲,2025,93,350,317,22,77,15,0,0,92,25,1,1,25,4,65,6,0.243,0.303,0.29,0,4,千葉ロッテ
藤岡　裕大,2025,102,373,320,25,82,17,1,4,113,25,1,0,42,1,67,11,0.256,0.341,0.353,6,4,千葉ロッテ
中村　奨吾,2025,20,64,59,2,11,2,0,1,16,3,0,0,4,1,9,0,0.186,0.25,0.271,0,0,千葉ロッテ
上田　希由翔,2025,66,184,166,18,35,11,0,3,55,20,0,0,15,1,36,3,0.211,0.279,0.331,1,1,千葉ロッテ
石垣　雅海,2025,20,20,14,0,2,1,0,0,3,0,1,0,4,0,5,0,0.143,0.333,0.214,2,0,千葉ロッテ
宮崎　竜成,2025,39,110,98,7,19,3,0,0,22,3,1,0,3,4,31,1,0.194,0.248,0.224,5,0,千葉ロッテ
立松　由宇,2025,4,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,千葉ロッテ
小川　龍成,2025,87,202,178,14,47,2,0,0,49,13,9,3,12,3,33,4,0.264,0.32,0.275,8,1,千葉ロッテ
茶谷　健太,2025,43,41,36,3,8,2,0,0,10,2,0,0,3,0,9,0,0.222,0.282,0.278,2,0,千葉ロッテ
ソト,2025,102,367,330,31,76,14,0,13,129,44,0,0,32,3,98,6,0.23,0.302,0.391,0,2,千葉ロッテ
藤原　恭大,2025,107,452,409,38,111,12,6,4,147,24,15,6,33,6,80,3,0.271,0.335,0.359,4,0,千葉ロッテ
角中　勝也,2025,27,53,42,3,7,0,0,1,10,5,1,0,8,0,9,0,0.167,0.294,0.238,2,1,千葉ロッテ
西川　史礁,2025,108,444,417,42,117,27,3,3,159,37,1,0,16,8,85,6,0.281,0.318,0.381,0,3,千葉ロッテ
ポランコ,2025,39,154,139,13,28,3,0,5,46,13,0,0,14,0,35,1,0.201,0.273,0.331,0,1,千葉ロッテ
石川　慎吾,2025,14,36,35,2,3,1,0,0,4,3,0,0,1,0,11,0,0.086,0.111,0.114,0,0,千葉ロッテ
岡　大海,2025,65,181,157,17,43,6,1,2,57,18,3,1,16,6,36,1,0.274,0.363,0.363,2,0,千葉ロッテ
髙部　瑛斗,2025,111,384,357,49,102,15,7,2,137,34,20,4,14,3,49,3,0.286,0.314,0.384,5,5,千葉ロッテ
愛斗,2025,17,20,15,2,2,1,0,0,3,1,0,0,0,1,5,0,0.133,0.188,0.2,4,0,千葉ロッテ
山口　航輝,2025,35,112,106,11,27,2,0,7,50,24,1,1,5,0,37,3,0.255,0.286,0.472,0,1,千葉ロッテ
山本　大斗,2025,107,417,385,40,79,18,0,11,130,33,2,0,24,6,112,13,0.205,0.262,0.338,1,1,千葉ロッテ
和田　康士朗,2025,17,10,8,4,1,1,0,0,2,1,0,1,1,0,2,0,0.125,0.2,0.25,0,1,千葉ロッテ
アセベド,2025,5,12,11,1,2,0,0,1,5,2,0,0,1,0,3,0,0.182,0.25,0.455,0,0,千葉ロッテ
會澤　翼,2025,24,55,43,4,5,1,0,0,6,1,0,1,7,2,16,1,0.116,0.269,0.14,3,0,広島東洋
坂倉　将吾,2025,104,399,345,29,82,26,1,5,125,37,1,0,43,4,72,8,0.238,0.327,0.362,4,3,広島東洋
石原　貴規,2025,51,116,104,4,20,4,0,0,24,3,0,0,4,3,29,3,0.192,0.243,0.231,5,0,広島東洋
磯村　嘉孝,2025,6,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,広島東洋
清水　叶人,2025,4,14,13,1,2,1,0,0,3,0,0,0,1,0,4,0,0.154,0.214,0.231,0,0,広島東洋
羽月　隆太郎,2025,74,119,105,26,31,2,2,0,37,4,17,5,13,0,29,0,0.295,0.373,0.352,1,0,広島東洋
上本　崇司,2025,21,31,27,1,5,1,0,0,6,0,0,0,2,0,8,1,0.185,0.241,0.222,2,0,広島東洋
田中　広輔,2025,15,44,34,2,5,0,0,0,5,0,0,2,9,1,7,0,0.147,0.341,0.147,0,0,広島東洋
矢野　雅哉,2025,112,335,284,24,59,6,1,1,70,19,2,3,27,6,69,1,0.208,0.288,0.246,16,2,広島東洋
小園　海斗,2025,138,573,521,51,161,24,4,3,202,47,12,7,42,5,47,9,0.309,0.365,0.388,3,2,広島東洋
堂林　翔太,2025,44,77,70,5,13,6,0,1,22,4,0,0,6,0,23,3,0.186,0.25,0.314,1,0,広島東洋
佐々木　泰,2025,54,187,181,11,49,2,1,0,53,6,2,0,5,1,23,6,0.271,0.294,0.293,0,0,広島東洋
菊池　涼介,2025,113,389,355,30,89,19,0,4,120,28,5,3,14,1,70,5,0.251,0.28,0.338,17,2,広島東洋
林　晃汰,2025,22,49,48,2,9,0,0,2,15,4,0,0,1,0,18,0,0.188,0.204,0.313,0,0,広島東洋
渡邉　悠斗,2025,2,8,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0.125,0.125,0.125,0,0,広島東洋
内田　湘大,2025,6,10,9,0,2,1,0,0,3,0,0,0,1,0,4,0,0.222,0.3,0.333,0,0,広島東洋
山足　達也,2025,11,14,9,2,1,0,0,0,1,1,0,0,2,0,0,1,0.111,0.273,0.111,3,0,広島東洋
前川　誠太,2025,28,56,54,1,10,3,0,0,13,9,0,1,2,0,10,3,0.185,0.214,0.241,0,0,広島東洋
佐藤　啓介,2025,5,16,15,0,1,0,0,0,1,1,0,0,1,0,5,0,0.067,0.125,0.067,0,0,広島東洋
モンテロ,2025,105,396,368,23,94,21,1,9,144,41,0,0,23,2,89,11,0.255,0.301,0.391,0,3,広島東洋
二俣　翔一,2025,54,130,118,12,22,4,1,3,37,6,1,1,8,1,31,2,0.186,0.242,0.314,2,1,広島東洋
